gene	pvalue	HR	CI	nHighgroup	nLowgroup
AC105265.3	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC105362.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC106870.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC130404.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC138625.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AL031656.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AL133387.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AL160313.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AL163973.3	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AL445433.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AL512658.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AL731533.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AP000542.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AP000821.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AP001198.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AP002802.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
BX322559.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
CYLC2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
FAM47C	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
FOXR2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
GPHB5	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
IGHV1OR15-6	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
IGHV3-75	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
IGKV1-22	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
IGLV2-28	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
IGLV3-31	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
KRTAP4-4	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LILRB1-AS1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC00423	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC01007	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC01228	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC01491	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC01533	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC01548	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC01595	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC01862	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC01997	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC02040	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC02176	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
LINC02484	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
OR2T34	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
OR4E2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
OR8B12	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
TRBVA	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
Z82180.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AL391987.3	0.00010776818588254	7.01042006686555	95% CI: 0.39 - 125.82	3	45
HSPB11	0.000116510025808592	3.53032418728078	95% CI: 1.65 - 7.56	24	24
AC063948.1	0.000119249250898568	3.63522430567179	95% CI: 1.72 - 7.68	24	24
LINC01791	0.000123924988367774	6.88282550887672	95% CI: 0.39 - 120.41	3	45
TSPAN10	0.000151651899985783	3.53869746944442	95% CI: 1.68 - 7.45	24	24
CCDC50	0.000183831719218541	3.63285171959389	95% CI: 1.72 - 7.67	24	24
ALDH8A1	0.000185979520773483	3.59606345036919	95% CI: 1.7 - 7.59	24	24
FAM200B	0.000217471377200296	3.53429042182148	95% CI: 1.68 - 7.44	24	24
PANX3	0.000222673669445062	5.42630185682714	95% CI: 0.61 - 48.26	4	44
F9	0.000253582906202032	6.35769063193419	95% CI: 0.4 - 99.86	4	44
IGHV7-34-1	0.000261417784449436	4.75970858338508	95% CI: 0.77 - 29.35	5	43
PRR12	0.000262720761740942	3.35320860035029	95% CI: 1.58 - 7.14	24	24
TAS1R3	0.000270364003544743	3.43709855046779	95% CI: 1.61 - 7.34	24	24
LINC02074	0.000276967803408912	6.39284504614437	95% CI: 0.4 - 101.15	3	45
AL583839.1	0.000296402709999755	3.54357585171602	95% CI: 1.68 - 7.47	24	24
AC007448.3	0.000360508283406502	3.39785696176845	95% CI: 1.62 - 7.13	24	24
KLRF2	0.000365813973274065	3.56040805631888	95% CI: 1.12 - 11.31	10	38
AC010271.2	0.000369676184446499	4.18251324967052	95% CI: 0.89 - 19.73	7	41
MTF2	0.000384860134680309	3.45650694531752	95% CI: 1.64 - 7.26	24	24
AC092674.1	0.000406734867123726	5.11902495107794	95% CI: 0.61 - 42.91	4	44
SPAM1	0.00042483193236198	5.0244890721902	95% CI: 0.61 - 41.34	5	43
IGHD2-8	0.00044311802434438	8.10464883172516	95% CI: 0.17 - 379.07	2	46
AC037486.1	0.000467857965021579	4.08190775237724	95% CI: 0.88 - 18.94	6	42
OR1K1	0.000477467783066232	4.41209929713769	95% CI: 0.76 - 25.57	6	42
PSMG3	0.00049616445343259	3.36642196418014	95% CI: 1.61 - 7.06	24	24
AC133528.1	0.000574066358453584	3.47428826326133	95% CI: 1.67 - 7.21	24	24
IGKV1OR22-5	0.000585525122340447	7.6816223977028	95% CI: 0.18 - 325.13	3	45
LRRC74A	0.000588197468093687	0.275672645591865	95% CI: 0.13 - 0.57	24	24
AL050341.2	0.000596592453270595	3.30441858456565	95% CI: 1.58 - 6.91	24	24
ZNF808	0.000603212357727201	3.16984451353163	95% CI: 1.5 - 6.7	24	24
CASP2	0.000623380298926168	3.42587548887631	95% CI: 1.65 - 7.1	24	24
ZBTB20-AS2	0.000658060459051368	5.83375014882168	95% CI: 0.42 - 81.93	3	45
CALM3	0.000672406311938989	3.14929254809744	95% CI: 1.49 - 6.66	24	24
AC009113.1	0.000679948137050079	3.29028287596478	95% CI: 1.57 - 6.88	24	24
CDCA4	0.000701686467729279	3.41416599830017	95% CI: 1.65 - 7.08	24	24
GDF5OS	0.000717826761229445	4.29793538783424	95% CI: 0.76 - 24.39	5	43
AL139246.5	0.000726435089788868	3.16900141247433	95% CI: 1.5 - 6.7	24	24
TRPM8	0.000746077255433408	3.19315224442038	95% CI: 1.51 - 6.76	24	24
ZNF230	0.000750354915863061	3.00557752628688	95% CI: 1.41 - 6.42	24	24
ZCCHC3	0.000766780530017108	3.56190117533339	95% CI: 1.73 - 7.33	24	24
PSD4	0.000776182358392163	3.27044151921161	95% CI: 1.56 - 6.84	24	24
CRTC2	0.000786751617809278	3.2492290016065	95% CI: 1.56 - 6.79	24	24
AC136424.2	0.000787208911288695	0.178228900794615	95% CI: 0.09 - 0.37	13	35
IGHV1OR15-1	0.000799792717292247	5.57060396176629	95% CI: 0.42 - 73.83	5	43
OR2AE1	0.000823749262459761	3.35140839575498	95% CI: 1.08 - 10.36	10	38
OSGEPL1-AS1	0.000847707855512248	3.17143558399008	95% CI: 1.52 - 6.61	24	24
F2	0.000855656987167941	3.15796310441312	95% CI: 1.49 - 6.68	24	24
COX6A2	0.00085650268411186	3.34961246785004	95% CI: 1 - 11.17	9	39
PPIAL4C	0.00086172146052399	3.0021610887696	95% CI: 1.23 - 7.31	16	32
AL022157.1	0.000895329813261125	2.97383970300224	95% CI: 1.39 - 6.35	24	24
TM2D1	0.000900006193487513	2.96390580345945	95% CI: 1.39 - 6.32	24	24
SULT6B1	0.000905961225352803	7.42374729776131	95% CI: 0.19 - 295.26	2	46
SLC26A11	0.000925173289075487	2.98085534297059	95% CI: 1.4 - 6.36	24	24
GALK1	0.000951529100282067	3.13255795256495	95% CI: 1.48 - 6.62	24	24
PLA2G15	0.000986744152739805	3.02632116654763	95% CI: 1.44 - 6.37	24	24
MTFR1L	0.000988026682843146	2.95009247709493	95% CI: 1.38 - 6.29	24	24
FGG	0.000991532000423012	2.90824969189638	95% CI: 1.34 - 6.3	24	24
PDE6C	0.00102635658391403	2.94959958917838	95% CI: 1.38 - 6.29	24	24
ZNF800	0.00103725642608288	3.10540642765052	95% CI: 1.47 - 6.55	24	24
SMAD5-AS1	0.00104334999703259	0.33631854893923	95% CI: 0.16 - 0.72	24	24
WDR53	0.00105420423704339	3.30228568426697	95% CI: 1.6 - 6.83	24	24
GDAP2	0.00106779789468359	3.03905694492996	95% CI: 1.44 - 6.4	24	24
HORMAD1	0.00107346129362129	2.95485391084261	95% CI: 1.39 - 6.3	24	24
GPR151	0.00108402397456675	5.51991571241402	95% CI: 0.42 - 72.33	3	45
IGHV3-33-2	0.00108402397456675	5.51991571241402	95% CI: 0.42 - 72.33	3	45
LINC01501	0.00108402397456675	5.51991571241402	95% CI: 0.42 - 72.33	3	45
ZNF681	0.00110576716361754	3.0164075689534	95% CI: 1.43 - 6.35	24	24
PTOV1	0.00111077622209099	3.04806266951239	95% CI: 1.45 - 6.42	24	24
TRDC	0.00118398249780305	2.97669204728976	95% CI: 1.39 - 6.35	24	24
NFYC	0.00120123573718456	2.94707457001009	95% CI: 1.4 - 6.19	24	24
ZNF674-AS1	0.00128471428188459	3.10168545387972	95% CI: 1.49 - 6.46	24	24
EXTL3-AS1	0.00129835913150855	2.91868738017817	95% CI: 1.37 - 6.21	24	24
CCDC14	0.00131478673992924	3.12619496083953	95% CI: 1.5 - 6.51	24	24
ANGPTL7	0.0013478872776147	0.331765019280362	95% CI: 0.16 - 0.7	24	24
DUSP28	0.00136755123411281	2.9988057826158	95% CI: 1.43 - 6.3	24	24
ZNF484	0.00138257858231527	3.06725961116759	95% CI: 1.48 - 6.38	24	24
TMEM42	0.00138766785532229	3.06904958958239	95% CI: 1.48 - 6.38	24	24
PTPRU	0.0013897343383068	3.01580659993103	95% CI: 1.45 - 6.26	24	24
GJB5	0.00140189211392805	3.3169947726297	95% CI: 1.62 - 6.81	24	24
LINC01410	0.00140210402618601	2.9672828185733	95% CI: 1.41 - 6.23	24	24
AC138696.2	0.0014182353283414	2.92564892494793	95% CI: 1.39 - 6.14	24	24
AC084346.2	0.00142931583673234	2.88683144124394	95% CI: 1.27 - 6.55	18	30
PCNX4	0.00143801096116747	2.96554379909644	95% CI: 1.41 - 6.23	24	24
TFPT	0.00145218244036416	3.07378912000077	95% CI: 1.48 - 6.39	24	24
AC093297.2	0.00145850164433436	3.07848367450252	95% CI: 1.48 - 6.4	24	24
VGLL1	0.00150854559787927	3.33042602358588	95% CI: 1.62 - 6.84	24	24
FAM199X	0.00152889283726332	3.07593912063543	95% CI: 1.48 - 6.4	24	24
PPP1R2	0.00157069056576442	2.97646322233705	95% CI: 1.42 - 6.25	24	24
AP001412.1	0.0015893911652467	2.9601895300923	95% CI: 1.41 - 6.22	24	24
C1orf52	0.00160524808941709	3.17932767295701	95% CI: 1.54 - 6.56	24	24
DHH	0.0016128738273764	0.316553870882181	95% CI: 0.15 - 0.65	24	24
TRIM62	0.00162330365924468	2.94588722888529	95% CI: 1.4 - 6.18	24	24
ORAI3	0.00164024473984681	2.86923006707663	95% CI: 1.37 - 6.01	24	24
LINC00486	0.00165235047619061	4.42452719624787	95% CI: 0.61 - 32.23	4	44
AC073288.1	0.00166284931895666	3.93153142149531	95% CI: 0.74 - 20.83	5	43
LINC00526	0.00166862147764713	3.06142823931287	95% CI: 1.47 - 6.37	24	24
SLX4	0.00168354164342477	3.02962230460031	95% CI: 1.46 - 6.29	24	24
KDM4A	0.00170228406465589	2.97452573853761	95% CI: 1.43 - 6.17	24	24
LIME1	0.00170291942841383	2.95578570179084	95% CI: 1.41 - 6.21	24	24
DISP1	0.00171291059404621	2.9135203592559	95% CI: 1.39 - 6.11	24	24
ESCO1	0.00172860905677763	3.05981264793433	95% CI: 1.47 - 6.36	24	24
EAF1-AS1	0.00173335019767129	2.91995994146595	95% CI: 1.39 - 6.12	24	24
MYRFL	0.00174217667837373	2.87680236349308	95% CI: 1.35 - 6.11	24	24
B3GALT4	0.00174723043118397	2.97554344433451	95% CI: 1.42 - 6.25	24	24
CLPX	0.00178778485862929	2.95805735575079	95% CI: 1.41 - 6.21	24	24
C17orf75	0.00183437878967685	3.13656858435707	95% CI: 1.52 - 6.47	24	24
CHIA	0.0018456056884234	4.31442258636785	95% CI: 0.61 - 30.71	4	44
LINC00165	0.00187153328266754	3.51080894342282	95% CI: 0.83 - 14.77	8	40
GRHL3	0.0018866227718265	2.99585791057539	95% CI: 1.44 - 6.22	24	24
NSUN5	0.00189044062609056	3.00473698264157	95% CI: 1.45 - 6.24	24	24
AC004812.2	0.00189142638326723	2.9908227060136	95% CI: 1.44 - 6.21	24	24
TMEM199	0.00189401320710236	3.0387576957536	95% CI: 1.46 - 6.31	24	24
VSTM2L	0.00193219644802611	3.02603395666924	95% CI: 1.46 - 6.29	24	24
CTDSPL2	0.00195899409414868	2.94958983191006	95% CI: 1.41 - 6.19	24	24
AC005229.4	0.00195946783713619	3.01886181343571	95% CI: 1.45 - 6.27	24	24
CNOT3	0.0019595693965605	2.87078237877857	95% CI: 1.37 - 6.01	24	24
RFX7	0.00196827041263037	3.12073073023639	95% CI: 1.51 - 6.43	24	24
TDRKH-AS1	0.00201069266653475	2.82758012933089	95% CI: 1.33 - 6	24	24
C16orf74	0.00201899789209248	2.99462300044911	95% CI: 1.44 - 6.22	24	24
C22orf15	0.00204345180361454	2.73821095856183	95% CI: 1.27 - 5.88	24	24
AC008438.1	0.00207307355127662	2.90095352764578	95% CI: 1.38 - 6.08	24	24
AC005261.3	0.00207634596924533	2.90830582918989	95% CI: 1.39 - 6.1	24	24
RAB33B	0.00211239382565565	2.77391181264404	95% CI: 1.31 - 5.87	24	24
AC015712.1	0.00211586674699638	2.96221208602835	95% CI: 1.43 - 6.14	24	24
GPBP1L1	0.00212895570251859	2.97712767213115	95% CI: 1.43 - 6.18	24	24
TRIT1	0.00212911969481888	3.06556095292608	95% CI: 1.49 - 6.31	24	24
CNOT2	0.0021555401075376	2.91314078645857	95% CI: 1.39 - 6.11	24	24
AFM	0.00216359970108526	3.29432127565517	95% CI: 0.91 - 11.92	7	41
SETD9	0.00216530552665217	2.87292318722768	95% CI: 1.37 - 6.02	24	24
ZNF579	0.00223259662628372	2.96476580697014	95% CI: 1.43 - 6.15	24	24
MBIP	0.00226470374835297	2.90253444500846	95% CI: 1.38 - 6.08	24	24
ZNF688	0.0022810863076842	2.98382101485059	95% CI: 1.44 - 6.19	24	24
TCTE3	0.00234458372653223	2.8600553087908	95% CI: 1.37 - 5.99	24	24
AP005131.5	0.00234511363640166	2.75770588965098	95% CI: 1.23 - 6.2	18	30
MEN1	0.00235819787995151	2.94022403228236	95% CI: 1.42 - 6.1	24	24
NDUFV2-AS1	0.00241037978376224	2.89434524760252	95% CI: 1.38 - 6.06	24	24
WASIR2	0.00243370699472512	2.92080438588817	95% CI: 1.41 - 6.05	24	24
AC008764.6	0.00248848519046874	2.84381588767909	95% CI: 1.36 - 5.95	24	24
AC118549.1	0.00250272887808523	2.92312673140826	95% CI: 1.41 - 6.06	24	24
TANK	0.00252606267505762	2.84004571209984	95% CI: 1.36 - 5.94	24	24
TMEM44	0.00255717038886849	3.04373400581496	95% CI: 1.48 - 6.27	24	24
MYL12B	0.0025579914377849	2.93794190055573	95% CI: 1.42 - 6.09	24	24
VTCN1	0.00259638512091842	2.92525732796296	95% CI: 1.41 - 6.06	24	24
VCPIP1	0.00259670152919578	2.91911117073477	95% CI: 1.41 - 6.05	24	24
EFNA5	0.00260964505831984	2.91595919994964	95% CI: 1.41 - 6.04	24	24
IRF5	0.00261008010963715	2.8520244694276	95% CI: 1.36 - 5.97	24	24
AC090114.2	0.00264564210763762	2.77908113495313	95% CI: 1.31 - 5.88	24	24
NECTIN3-AS1	0.00264741346433595	3.00160504143565	95% CI: 1.46 - 6.17	24	24
ZNF830	0.00265331633089916	2.91741694286833	95% CI: 1.41 - 6.04	24	24
TGIF2LX	0.00265725040532783	4.88150387293081	95% CI: 0.43 - 55.22	4	44
AL353616.2	0.00272364593799856	4.11880625936924	95% CI: 0.6 - 28.11	4	44
ASPDH	0.00277111125367935	2.79270424086051	95% CI: 1.32 - 5.92	24	24
AC009237.14	0.0027979530341713	2.90874676294111	95% CI: 1.4 - 6.03	24	24
RRM2B	0.002798265825118	2.71311717483584	95% CI: 1.29 - 5.73	24	24
WNT3	0.00282401490195883	2.78075418545404	95% CI: 1.33 - 5.81	24	24
LINC00443	0.00283562410259974	2.90221431944545	95% CI: 1.4 - 6.01	24	24
ZNF311	0.00286272994980663	2.68912821476563	95% CI: 1.27 - 5.67	24	24
PATZ1	0.00290976993819869	2.81662420643119	95% CI: 1.35 - 5.89	24	24
CCDC115	0.00293900195926289	2.80745484277469	95% CI: 1.34 - 5.87	24	24
AL157402.1	0.00295204391210058	3.06256848406932	95% CI: 0.96 - 9.79	10	38
FUZ	0.00296919727008249	2.7585887837703	95% CI: 1.32 - 5.76	24	24
LINC00284	0.00304835186429286	2.6933088370454	95% CI: 1.28 - 5.68	24	24
DYRK1B	0.00307689733396166	2.88317897987472	95% CI: 1.39 - 5.97	24	24
RBBP4	0.00308411290138966	2.87084905514041	95% CI: 1.39 - 5.94	24	24
BID	0.0030877678942246	2.89008045788753	95% CI: 1.4 - 5.98	24	24
SLFN13	0.00309574633211551	2.84960194664126	95% CI: 1.38 - 5.89	24	24
PUM1	0.00311515308231736	2.88666050759411	95% CI: 1.39 - 5.98	24	24
NRSN2	0.00312016039876906	2.82088860401236	95% CI: 1.36 - 5.83	24	24
KCNK5	0.00313946801712439	2.95142833411405	95% CI: 1.44 - 6.07	24	24
RXRG	0.00314326208274007	0.346102216451801	95% CI: 0.17 - 0.72	24	24
HEATR6	0.00314709927249379	2.66752405090523	95% CI: 1.27 - 5.62	24	24
HOXA11-AS	0.00321300674828284	2.86712765310945	95% CI: 1.39 - 5.93	24	24
AC093772.1	0.00324631015265353	0.324562111620518	95% CI: 0.16 - 0.66	22	26
AL353680.1	0.00325319027853421	6.12449807286428	95% CI: 0.21 - 174.94	2	46
FP236241.1	0.00325319027853421	6.12449807286428	95% CI: 0.21 - 174.94	2	46
LINC02536	0.00325319027853421	6.12449807286428	95% CI: 0.21 - 174.94	2	46
MIR548XHG	0.00325319027853421	6.12449807286428	95% CI: 0.21 - 174.94	2	46
LRRC55	0.00328470610870379	2.65302248387024	95% CI: 1.26 - 5.59	24	24
IFNA1	0.00330028851153319	4.72742587612318	95% CI: 0.43 - 51.54	3	45
AC009163.6	0.00334176956875654	3.36008381550935	95% CI: 0.82 - 13.76	6	42
COL22A1	0.00337685902008555	2.85991064139386	95% CI: 1.38 - 5.92	24	24
RTN4R	0.0034141261254097	2.85429596796848	95% CI: 1.38 - 5.91	24	24
NABP1	0.00341533074023037	2.72039363763129	95% CI: 1.29 - 5.75	24	24
ZNF419	0.00342110775074123	2.7836472535349	95% CI: 1.33 - 5.81	24	24
LRIF1	0.00344314064657536	2.72581081708227	95% CI: 1.31 - 5.68	24	24
YDJC	0.00344514932563123	2.95337760789557	95% CI: 1.44 - 6.07	24	24
ADPRHL2	0.00348534173808091	2.68770735961814	95% CI: 1.29 - 5.6	24	24
AL359513.1	0.00349455161475787	2.83736771621122	95% CI: 1.37 - 5.87	24	24
GPM6B	0.00349650523365808	0.371206462573515	95% CI: 0.18 - 0.78	24	24
CREBRF	0.00359685385869957	2.6148651909553	95% CI: 1.22 - 5.59	24	24
AC096992.2	0.00360022394505977	2.70098518715222	95% CI: 1.28 - 5.7	24	24
LAMC3	0.00360057390401625	2.6509550438953	95% CI: 1.26 - 5.58	24	24
GCA	0.00360595028454569	2.75650055338207	95% CI: 1.32 - 5.75	24	24
ATG14	0.00360841669370815	2.65418599312015	95% CI: 1.26 - 5.59	24	24
TNFAIP8L2	0.00362672878265802	2.65166749803762	95% CI: 1.26 - 5.59	24	24
ZBTB34	0.00364109284473613	2.75939138416508	95% CI: 1.32 - 5.76	24	24
LINC02492	0.00374616705461861	4.63010238636358	95% CI: 0.43 - 49.3	3	45
PPP1R35	0.00377401496594443	2.8115478793222	95% CI: 1.36 - 5.81	24	24
LINC00355	0.00381382780716844	3.56589016726115	95% CI: 0.72 - 17.59	6	42
IGLV1-62	0.00381839804401085	4.65826936872852	95% CI: 0.43 - 49.94	4	44
ZNF17	0.00382269349208986	2.6227373225752	95% CI: 1.25 - 5.52	24	24
RNF213	0.00385586250041092	2.74119430998055	95% CI: 1.31 - 5.72	24	24
AC104758.2	0.00388553191101648	2.69884739482212	95% CI: 1.3 - 5.62	24	24
FOXO6	0.00389905049896244	2.90916977555763	95% CI: 1.42 - 5.98	24	24
B3GALT6	0.00390984705662001	2.76159486851994	95% CI: 1.32 - 5.76	24	24
FEZF1-AS1	0.00390986159004425	2.81888536149418	95% CI: 1.36 - 5.83	24	24
AC005019.2	0.0039355789587302	3.56212454800688	95% CI: 0.72 - 17.55	5	43
DR1	0.00397410959607747	2.7354127524343	95% CI: 1.31 - 5.7	24	24
AL645939.4	0.00400606171010631	2.60206377396348	95% CI: 1.24 - 5.47	24	24
AC107958.3	0.00403260329741206	3.56587261197466	95% CI: 0.72 - 17.59	5	43
ATRNL1	0.00404538562537715	2.58929896371059	95% CI: 1.21 - 5.52	24	24
WASHC4	0.00410501559558074	2.61518255767709	95% CI: 1.24 - 5.5	24	24
ZNF862	0.00410573340406528	2.60979312350586	95% CI: 1.24 - 5.49	24	24
LINC00658	0.00411271855673145	3.0763339940712	95% CI: 0.88 - 10.74	7	41
HNRNPD	0.00412795221930562	2.81750676476766	95% CI: 1.36 - 5.82	24	24
LDLRAP1	0.00414959710329399	2.62549107854585	95% CI: 1.25 - 5.52	24	24
IGLV3-13	0.00415738389824294	3.95654320850016	95% CI: 0.6 - 26.07	4	44
IGHV1OR15-2	0.00419823224166138	2.65722177823321	95% CI: 1.09 - 6.49	15	33
C12orf65	0.00421921278197446	2.79300562909049	95% CI: 1.35 - 5.77	24	24
LRFN1	0.00422188717649419	2.53178949900005	95% CI: 1.17 - 5.48	24	24
AC114291.1	0.00423809348300552	0.38573492189988	95% CI: 0.18 - 0.81	24	24
PDCL2	0.00424626537320438	3.0651828850591	95% CI: 0.88 - 10.68	7	41
IGFBP3	0.004249476242148	2.68651157168674	95% CI: 1.27 - 5.67	24	24
AC010487.2	0.0042881185223439	2.69356196350466	95% CI: 1.29 - 5.61	24	24
LINC00494	0.00429606683908557	2.73362639149473	95% CI: 1.31 - 5.7	24	24
ANKRD12	0.00431078748570857	2.67208943490001	95% CI: 1.27 - 5.63	24	24
BMF	0.00431204380937955	2.5888986053462	95% CI: 1.23 - 5.44	24	24
PLP2	0.00431592506977407	2.71526085478451	95% CI: 1.3 - 5.66	24	24
SLC6A3	0.00432174406689012	2.57617693977708	95% CI: 1.21 - 5.49	24	24
